
TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,35.1,26.1,70,29.98,10.0,Variable,6.9,18.4,N/A,,Clear,0,2015-02-11 05:51:00<br />
1:51 AM,34.0,26.1,73,29.99,10.0,North,8.1,-,N/A,,Partly Cloudy,10,2015-02-11 06:51:00<br />
2:36 AM,33.8,24.8,70,29.99,10.0,North,6.9,-,N/A,,Mostly Cloudy,10,2015-02-11 07:36:00<br />
2:51 AM,33.1,25.0,72,30.00,10.0,NNE,6.9,-,N/A,,Partly Cloudy,30,2015-02-11 07:51:00<br />
3:51 AM,32.0,25.0,75,30.01,10.0,North,5.8,-,N/A,,Partly Cloudy,360,2015-02-11 08:51:00<br />
4:32 AM,30.2,24.8,80,30.00,10.0,Variable,6.9,-,N/A,,Mostly Cloudy,0,2015-02-11 09:32:00<br />
4:51 AM,30.9,24.1,76,30.02,10.0,North,5.8,-,N/A,,Scattered Clouds,10,2015-02-11 09:51:00<br />
5:51 AM,30.9,24.1,76,30.03,10.0,North,5.8,-,N/A,,Partly Cloudy,10,2015-02-11 10:51:00<br />
6:51 AM,30.9,24.1,76,30.04,10.0,NNE,4.6,-,N/A,,Clear,20,2015-02-11 11:51:00<br />
7:51 AM,32.0,24.1,73,30.05,10.0,NNE,6.9,-,N/A,,Clear,20,2015-02-11 12:51:00<br />
8:51 AM,34.0,25.0,70,30.06,10.0,NNE,9.2,-,N/A,,Clear,20,2015-02-11 13:51:00<br />
9:51 AM,37.0,26.1,65,30.07,10.0,NNE,8.1,16.1,N/A,,Clear,20,2015-02-11 14:51:00<br />
10:51 AM,39.9,27.0,60,30.06,10.0,NNE,9.2,-,N/A,,Clear,20,2015-02-11 15:51:00<br />

TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,44.1,39.9,85,29.74,9.0,NE,9.2,-,0.01,Rain,Light Rain,40,2015-02-10 05:51:00<br />
1:51 AM,42.1,37.9,85,29.75,10.0,NE,11.5,-,0.00,Rain,Light Rain,40,2015-02-10 06:51:00<br />
2:23 AM,42.8,37.4,81,29.77,10.0,NNE,11.5,-,0.00,Rain,Light Rain,30,2015-02-10 07:23:00<br />
2:51 AM,39.9,36.0,86,29.76,8.0,NE,11.5,20.7,0.02,Rain,Light Rain,40,2015-02-10 07:51:00<br />
3:51 AM,39.0,36.0,89,29.77,9.0,NNE,12.7,18.4,0.03,Rain,Light Rain,30,2015-02-10 08:51:00<br />
4:51 AM,37.9,34.0,86,29.78,9.0,NNE,10.4,18.4,0.02,Rain,Light Rain,20,2015-02-10 09:51:00<br />
5:51 AM,36.0,32.0,86,29.80,10.0,NNE,11.5,19.6,0.02,Rain,Light Rain,30,2015-02-10 10:51:00<br />
6:51 AM,36.0,32.0,86,29.82,6.0,NNE,11.5,18.4,0.02,Rain,Light Rain,20,2015-02-10 11:51:00<br />
7:51 AM,36.0,32.0,86,29.84,6.0,NNE,11.5,-,0.03,Rain,Light Rain,20,2015-02-10 12:51:00<br />
8:51 AM,36.0,32.0,86,29.86,8.0,NNE,13.8,20.7,0.02,Rain,Light Rain,30,2015-02-10 13:51:00<br />
9:15 AM,35.6,33.8,93,29.86,8.0,NNE,12.7,23.0,0.00,,Light Drizzle,30,2015-02-10 14:15:00<br />
9:51 AM,37.0,33.1,86,29.88,8.0,NNE,9.2,17.3,0.00,,Light Drizzle,20,2015-02-10 14:51:00<br />
10:51 AM,37.0,33.1,86,29.88,9.0,NNE,12.7,21.9,0.00,,Overcast,20,2015-02-10 15:51:00<br />
