Device Id	Device Name	Probe Sensor in Fahrenheit	Probe Sensor Alert	Device Sensor in Fahrenheit	Device Sensor Alert	Device Sensor Humidity	Device Sensor Humidity Alert	Timestamp Record
00011ED95A401B5B	5 Outside Back West Door	n/a	No	48.3	No	59%	No	20/01/2015 20:45:44
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.5	No	48%	No	20/01/2015 20:41:57
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	69.9	No	42%	No	20/01/2015 20:38:55
000104203903E300	1 Downstairs Thermostat	n/a	No	69.1	No	42%	No	20/01/2015 20:34:50
00011ED95A401B5B	5 Outside Back West Door	n/a	No	49.2	No	59%	No	20/01/2015 20:15:41
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.5	No	48%	No	20/01/2015 20:11:56
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	70.3	No	42%	No	20/01/2015 20:08:54
000104203903E300	1 Downstairs Thermostat	n/a	No	69.4	No	41%	No	20/01/2015 20:04:50
00011ED95A401B5B	5 Outside Back West Door	n/a	No	49.7	No	57%	No	20/01/2015 19:45:41
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	48%	No	20/01/2015 19:41:54
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	70.3	No	42%	No	20/01/2015 19:38:54
000104203903E300	1 Downstairs Thermostat	n/a	No	69.5	No	41%	No	20/01/2015 19:34:49
00011ED95A401B5B	5 Outside Back West Door	n/a	No	50.5	No	55%	No	20/01/2015 19:15:41
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.5	No	48%	No	20/01/2015 19:11:56
000104203903E300	1 Downstairs Thermostat	n/a	No	69.8	No	41%	No	20/01/2015 19:04:51
00011ED95A401B5B	5 Outside Back West Door	n/a	No	51.8	No	53%	No	20/01/2015 18:45:41
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.5	No	48%	No	20/01/2015 18:41:52
000104203903E300	1 Downstairs Thermostat	n/a	No	69.9	No	41%	No	20/01/2015 18:34:46
00011ED95A401B5B	5 Outside Back West Door	n/a	No	53.2	No	51%	No	20/01/2015 18:15:42
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	48%	No	20/01/2015 18:11:50
000104203903E300	1 Downstairs Thermostat	n/a	No	70.2	No	41%	No	20/01/2015 18:04:44
00011ED95A401B5B	5 Outside Back West Door	n/a	No	55.5	No	47%	No	20/01/2015 17:45:38
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	47%	No	20/01/2015 17:41:48
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	70.7	No	41%	No	20/01/2015 17:38:53
000104203903E300	1 Downstairs Thermostat	n/a	No	70.2	No	40%	No	20/01/2015 17:34:43
00011ED95A401B5B	5 Outside Back West Door	n/a	No	57.8	No	46%	No	20/01/2015 17:15:38
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	47%	No	20/01/2015 17:11:48
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	71.6	No	41%	No	20/01/2015 17:08:52
000104203903E300	1 Downstairs Thermostat	n/a	No	70.8	No	41%	No	20/01/2015 17:04:43
00011ED95A401B5B	5 Outside Back West Door	n/a	No	60.9	No	42%	No	20/01/2015 16:45:36
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	47%	No	20/01/2015 16:41:48
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	71.7	No	39%	No	20/01/2015 16:37:59
000104203903E300	1 Downstairs Thermostat	n/a	No	70.8	No	39%	No	20/01/2015 16:34:43
00011ED95A401B5B	5 Outside Back West Door	n/a	No	63.1	No	39%	No	20/01/2015 16:15:36
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	47%	No	20/01/2015 16:11:49
000104203903E300	1 Downstairs Thermostat	n/a	No	70.8	No	38%	No	20/01/2015 16:04:42
00011ED95A401B5B	5 Outside Back West Door	n/a	No	63.5	No	38%	No	20/01/2015 15:45:37
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	47%	No	20/01/2015 15:41:46
000104203903E300	1 Downstairs Thermostat	n/a	No	70.8	No	39%	No	20/01/2015 15:34:40
00011ED95A401B5B	5 Outside Back West Door	n/a	No	64.9	No	39%	No	20/01/2015 15:15:34
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	47%	No	20/01/2015 15:11:44
000104203903E300	1 Downstairs Thermostat	n/a	No	70.9	No	39%	No	20/01/2015 15:04:36
00011ED95A401B5B	5 Outside Back West Door	n/a	No	64.5	No	41%	No	20/01/2015 14:45:33
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.6	No	47%	No	20/01/2015 14:41:40
000104203903E300	1 Downstairs Thermostat	n/a	No	70.8	No	38%	No	20/01/2015 14:34:32
00011ED95A401B5B	5 Outside Back West Door	n/a	No	63.6	No	40%	No	20/01/2015 14:15:32
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.8	No	47%	No	20/01/2015 14:11:40
000104203903E300	1 Downstairs Thermostat	n/a	No	71.7	No	38%	No	20/01/2015 14:04:32
00011ED95A401B5B	5 Outside Back West Door	n/a	No	63	No	42%	No	20/01/2015 13:45:34
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.9	No	46%	No	20/01/2015 13:41:38
00011ED95A401B5B	5 Outside Back West Door	n/a	No	61.8	No	43%	No	20/01/2015 13:15:26
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	46%	No	20/01/2015 13:11:36
000104203903E300	1 Downstairs Thermostat	n/a	No	73.4	No	40%	No	20/01/2015 13:04:19
00011ED95A401B5B	5 Outside Back West Door	n/a	No	59.2	No	47%	No	20/01/2015 12:45:14
00015EE21AD9638C	4 Basement - eguage	n/a	No	65	No	46%	No	20/01/2015 12:41:35
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	74.8	No	39%	No	20/01/2015 12:38:00
000104203903E300	1 Downstairs Thermostat	n/a	No	73	No	40%	No	20/01/2015 12:34:17
00011ED95A401B5B	5 Outside Back West Door	n/a	No	57.3	No	50%	No	20/01/2015 12:15:12
00015EE21AD9638C	4 Basement - eguage	n/a	No	64.9	No	46%	No	20/01/2015 12:11:34
0001D994F4E97F51	2 Upstairs Thermostat	n/a	No	74	No	39%	No	20/01/2015 12:07:58
000104203903E300	1 Downstairs Thermostat	n/a	No	72.7	No	40%	No	20/01/2015 12:04:16
